# PcbXY Version 1.0
# Date: Fri Sep 20 02:48:59 2019 UTC
# Author: Doug Coffland
# Title: (unknown) - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mm.  rotation in degrees.
# --------------------------------------------
D/A/J1,"AMPHENOL_10127720-041LF","4-Pin Male Connector",134.34,98.70,90,top
D/Z/J1,"AMPHENOL_10127720-041LF","4-Pin Male Connector",134.34,88.70,90,top
D/Y/J1,"AMPHENOL_10127720-041LF","4-Pin Male Connector",134.34,78.70,90,top
D/X/J1,"AMPHENOL_10127720-041LF","4-Pin Male Connector",134.34,68.70,90,top
H/J4,"NORCOMP_182-025-113R161_DB25M","25-Pin DSUB",132.20,35.25,180,top
(unknown),"Raspberry PI mount","(unknown)",89.50,101.25,0,top
(unknown),"Right-angle M3 Mounting Block","(unknown)",130.75,150.00,0,top
(unknown),"Guide Hole","(unknown)",5.00,150.00,0,top
(unknown),"Guide Hole","(unknown)",5.00,5.00,0,top
D/J1,"JUMPER6","N/A",51.75,37.10,180,top
D/A/C8,"0805_ext","1nF",73.25,112.75,180,top
D/A/C1,"0805_ext","1uF",58.00,120.00,180,top
D/A/C3,"0805_ext",".22uF",68.75,126.50,270,top
D/X/C8,"0805_ext","1nF",73.25,20.25,180,top
D/X/C1,"0805_ext","1uF",60.75,27.25,180,top
D/X/C3,"0805_ext",".22uF",68.75,33.00,270,top
D/Y/C8,"0805_ext","1nF",73.25,51.00,180,top
D/Y/C3,"0805_ext",".22uF",68.50,63.75,270,top
D/Y/C1,"0805_ext","1uF",60.25,58.25,180,top
D/A/C4,"0805_ext","1uF",66.00,123.00,270,top
D/Z/C8,"0805_ext","1nF",73.25,81.75,180,top
D/Z/C4,"0805_ext","1uF",66.00,92.00,270,top
H/C35,"0805_ext","0.1uF",62.75,11.00,180,top
H/R2,"0805_ext","750",66.00,9.75,90,top
H/R3,"0805_ext","750",66.00,5.50,90,top
H/R1,"0805_ext","2.4k",54.25,8.25,180,top
D/X/R7,"0805_ext","2.4k",35.25,29.00,90,top
H/R6,"0805_ext","180",54.25,14.50,180,top
H/R7,"0805_ext","180",54.25,12.75,180,top
H/R8,"0805_ext","180",54.25,6.00,180,top
H/C15,"0805_ext","130pF",58.00,12.50,270,top
H/C16,"0805_ext","130pF",54.25,10.00,0,top
H/C17,"0805_ext","130pF",58.75,4.25,180,top
D/R1,"0805_ext","180",69.25,39.25,0,top
D/R7,"0805_ext","180",55.50,30.50,0,top
D/X/R8,"0805_ext","180",53.25,25.75,0,top
D/X/C9,"0805_ext","1nF",53.25,27.50,0,top
D/X/R9,"0805_ext","180",53.25,24.00,0,top
D/X/C10,"0805_ext","1nF",53.25,22.25,0,top
D/X/C11,"0805_ext","130pF",53.25,20.50,0,top
D/X/R10,"0805_ext","180",53.25,18.75,0,top
D/X/R11,"0805_ext","180",33.50,29.00,270,top
(unknown),"Right-angle M3 Mounting Block","(unknown)",130.75,5.00,0,top
